hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,"Gross domestic product, constant prices","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Inflation, average consumer prices",Volume of imports of goods and services,Volume of exports of goods and services,Unemployment rate,Current account balance,Date,GSPC.Close
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1991,2,101.08,100.45,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-02-1991,367.0700073
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1991,3,102.03,101.14,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-03-1991,375.2200012
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1991,4,102.19,101.62,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-04-1991,375.3399963
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1992,1,101.69,101.69,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-01-1992,408.7799988
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1992,2,101.81,101.17,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-02-1992,412.7000122
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1992,3,101.78,100.87,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-03-1992,403.6900024
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1992,4,100.93,100.41,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-04-1992,414.9500122
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1993,1,99.68,99.67,2.752,38277.58,26364.19,19.716,2.97,8.646,3.268,6.908,-1.237,01-01-1993,438.7799988
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1993,2,99.86,99.22,2.752,38277.58,26364.19,19.716,2.97,8.646,3.268,6.908,-1.237,01-02-1993,443.3800049
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1993,3,99.6,98.67,2.752,38277.58,26364.19,19.716,2.97,8.646,3.268,6.908,-1.237,01-03-1993,451.6700134
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1993,4,99.28,98.82,2.752,38277.58,26364.19,19.716,2.97,8.646,3.268,6.908,-1.237,01-04-1993,440.1900024
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1994,1,98.83,98.81,4.029,39339,27674.02,19.925,2.596,11.923,8.836,6.1,-1.669,01-01-1994,481.6099854
